source_text;ipa
ɗume;ɗ u m e
ɗuuɗal;ɗ uː ɗ a l
ɗuuɗal njonuɗam;ɗ uː ɗ a l   n ɟ o n u ɗ a m
ɗuuɗal partiiji;ɗ uː ɗ a l   p a r t iː ɟ i
ɗuuɗal yimɓe leydi;ɗ uː ɗ a l   j i m ɓ e   l e j d i
ɗuuɗal-tagunndi;ɗ uː ɗ a l - t a ɡ u n n d i
ɗuuɗayaaduwal;ɗ uː ɗ a j aː d u w a l
ɗuuɗi;ɗ uː ɗ i
ɗuuɗude;ɗ uː ɗ u d e
ɗuulde;ɗ uː l d e
ɗuunnude;ɗ uː n n u d e
ɗuurtaade;ɗ uː r t aː d e
ɗuurude;ɗ uː r u d e
ɗuusel;ɗ uː s e l
ɗuuwtude;ɗ uː w t u d e
ɗuwaade;ɗ u w aː d e
ɗuwirde;ɗ u w i r d e
ɗuyki;ɗ u j k i
ɗuytaade;ɗ u j t aː d e
ɗuytude;ɗ u j t u d e
e1;e 1
e2;e 2
eɓɓ-a;e ɓ ɓ - a
eɓɓo;e ɓ ɓ o
eɓɓoore;e ɓ ɓ oː r e
eɓe;e ɓ e
eda;e d a
edaade;e d aː d e
edaare;e d aː r e
edda;e d d a
Eden;e d e n
eɗen;e ɗ e n
eedi;eː d i
eelgal;eː l ɡ a l
eelude;eː l u d e
eemaade;eː m aː d e
eemel;eː m e l
eemtaade;eː m t aː d e
eentere;eː n t e r e
eeragol;eː r a ɡ o l
eetude;eː t u d e
Efesunkooɓe;e f e s u n k oː ɓ e
Efesus;e f e s u s
eggol;e ɡ ɡ o l
eggude;e ɡ ɡ u d e
e1;e 1
e2;e 2
eɓɓ-a;e ɓ ɓ - a
eɓɓo;e ɓ ɓ o
eɓɓoore;e ɓ ɓ oː r e
eɓe;e ɓ e
eda;e d a
edaade;e d aː d e
edaare;e d aː r e
edda;e d d a
Eden;e d e n
eɗen;e ɗ e n
eedi;eː d i
eelgal;eː l ɡ a l
eelude;eː l u d e
eemaade;eː m aː d e
eemel;eː m e l
eemtaade;eː m t aː d e
eentere;eː n t e r e
eeragol;eː r a ɡ o l
eetude;eː t u d e
Efesunkooɓe;e f e s u n k oː ɓ e
Efesus;e f e s u s
eggol;e ɡ ɡ o l
eggude;e ɡ ɡ u d e
eggugol;e ɡ ɡ u ɡ o l
Ejekiyel;e ɟ e k i j e l
ekeer;e k eː r
ekintinde;e k i n t i n d e
ekintinoowo golle;e k i n t i n oː w o   ɡ o l l e
ekip;e k i p
ekitaade;e k i t aː d e
ekitagol;e k i t a ɡ o l
ekitol golle;e k i t o l   ɡ o l l e
ekitorde;e k i t o r d e
ekitotooɗo;e k i t o t oː ɗ o
ekkinngol;e k k i n ŋ ɡ o l
ekkit-o;e k k i t - o
ekkitagol;e k k i t a ɡ o l
ekkitagol jannde e binndi;e k k i t a ɡ o l   ɟ a n n d e   e   b i n n d i
ekkitorde;e k k i t o r d e
ekkondirde;e k k o n d i r d e
ekkondirgol;e k k o n d i r ɡ o l
ektaar;e k t aː r
ektogram;e k t o ɡ r a m
ektoliitere;e k t o l iː t e r e
ektomeetere;e k t o m eː t e r e
eleleldu;e l e l e l d u
Eliyaajaru;e l i j aː ɟ a r u
ellellu;e l l e l l u
elude;e l u d e
en1;e n 1
en2;e n 2
en-entere;e n - e n t e r e
endoode;e n d oː d e
enɗam;e n ɗ a m
enɗam lekki;e n ɗ a m   l e k k i
enɗi biberon;e n ɗ i   b i b e r o n
enɗiiwa;e n ɗ iː w a
enɗijum;e n ɗ i ɟ u m
enen1;e n e n 1
enen2;e n e n 2
enende;e n e n d e
enentere;e n e n t e r e
enndal;e n n d a l
enndol;e n n d o l
enndol dow alluwal;e n n d o l   d o w   a l l u w a l
enndol ley mbeeyu;e n n d o l   l e j   m b eː j u
enndu;e n n d u
enndu tuubaaku;e n n d u   t uː b aː k u
enndude;e n n d u d e
ennude;e n n u d e
enteede;e n t eː d e
entere1;e n t e r e 1
entere2;e n t e r e 2
entude;e n t u d e
entugol;e n t u ɡ o l
eppoos;e p p oː s
Esaaya;e s aː j a
esansi e gajowal;e s a n s i   e   ɡ a ɟ o w a l
Esara;e s a r a
esel;e s e l
esiyo;e s i j o
esoo;e s oː
etaa;e t aː
eten;e t e n
eterde;e t e r d e
etinde;e t i n d e
etirde;e t i r d e
etirgel henndu;e t i r ɡ e l   h e n n d u
eto;e t o
etorde;e t o r d e
etu;e t u
etude1;e t u d e 1
etude2;e t u d e 2
eyteede;e j t eː d e
eytude;e j t u d e
faa;f aː
faa'e;f aː ʔ e
faabaade;f aː b aː d e
faabada;f aː b a d a
faaɓuru;f aː ɓ u r u
faade e;f aː d e   e
faaɗinde;f aː ɗ i n d e
faaɗude;f aː ɗ u d e
faaleede;f aː l eː d e
faambru;f aː m b r u
faamburu;f aː m b u r u
faaminaaki;f aː m i n aː k i
faaminde;f aː m i n d e
faamirde;f aː m i r d e
faamitondirde;f aː m i t o n d i r d e
faamrude;f aː m r u d e
faamu;f aː m u
faamude;f aː m u d e
faandaa;f aː n d aː
faandaade;f aː n d aː d e
faandaare;f aː n d aː r e
faandu1;f aː n d u 1
faandu2;f aː n d u 2
faandu ɓernde;f aː n d u   ɓ e r n d e
faandu-hoore;f aː n d u - h oː r e
faa;f aː
faa'e;f aː ʔ e
faabaade;f aː b aː d e
faabada;f aː b a d a
faaɓuru;f aː ɓ u r u
faade e;f aː d e   e
faaɗinde;f aː ɗ i n d e
faaɗude;f aː ɗ u d e
faaleede;f aː l eː d e
faambru;f aː m b r u
faamburu;f aː m b u r u
faaminaaki;f aː m i n aː k i
faaminde;f aː m i n d e
faamirde;f aː m i r d e
faamitondirde;f aː m i t o n d i r d e
faamrude;f aː m r u d e
faamu;f aː m u
faamude;f aː m u d e
faandaa;f aː n d aː
faandaade;f aː n d aː d e
faandaare;f aː n d aː r e
faandu1;f aː n d u 1
faandu2;f aː n d u 2
faandu ɓernde;f aː n d u   ɓ e r n d e
faandu-hoore;f aː n d u - h oː r e
faannde;f aː n n d e
faar;f aː r
faataade;f aː t aː d e
faatagol-leydi;f aː t a ɡ o l - l e j d i
faattinde;f aː t t i n d e
faatude;f aː t u d e
Faatuma;f aː t u m a
faatumaajo;f aː t u m aː ɟ o
faawtaade;f aː w t aː d e
faawtinde;f aː w t i n d e
faaytinde;f aː j t i n d e
faayude;f aː j u d e
faɓɓi jaango;f a ɓ ɓ i   ɟ aː ŋ ɡ o
faɓɓiti jaango;f a ɓ ɓ i t i   ɟ aː ŋ ɡ o
faɓɓitittiyel jaango;f a ɓ ɓ i t i t t i j e l   ɟ aː ŋ ɡ o
faɓɓude;f a ɓ ɓ u d e
faccirde;f a c c i r d e
faccitingol;f a c c i t i ŋ ɡ o l
faccude;f a c c u d e
faddaade;f a d d aː d e
faddagol;f a d d a ɡ o l
faddagol fadde ndeen ...;f a d d a ɡ o l   f a d d e   n d eː n   . . .
faddagol naatiiru;f a d d a ɡ o l   n aː t iː r u
fadde;f a d d e
faddeede suudu lokotoro;f a d d eː d e   s uː d u   l o k o t o r o
faɗɗi jaango;f a ɗ ɗ i   ɟ aː ŋ ɡ o
faɗɗinde;f a ɗ ɗ i n d e
faɗɗitaa;f a ɗ ɗ i t aː
faɗɗitaade;f a ɗ ɗ i t aː d e
faɗɗiti jaango;f a ɗ ɗ i t i   ɟ aː ŋ ɡ o
faɗɗitinde;f a ɗ ɗ i t i n d e
faɗɗitittiyel jaango;f a ɗ ɗ i t i t t i j e l   ɟ aː ŋ ɡ o
faɗɗondirgol;f a ɗ ɗ o n d i r ɡ o l
faɗɗude;f a ɗ ɗ u d e
faɗo1;f a ɗ o 1
faɗo2;f a ɗ o 2
faggaade;f a ɡ ɡ aː d e
faggudu;f a ɡ ɡ u d u
fahɗuɓe;f a h ɗ u ɓ e
fahɗude;f a h ɗ u d e
fai'tinde;f a i ʔ t i n d e
fai'tude;f a i ʔ t u d e
fajiri;f a ɟ i r i
fakaade;f a k aː d e
fakitaade;f a k i t aː d e
faktiir;f a k t iː r
fakuho;f a k u h o
falaade;f a l aː d e
falfaahi;f a l f aː h i
falfajam;f a l f a ɟ a m
faljude;f a l ɟ u d e
fallaandu;f a l l aː n d u
faltaade;f a l t aː d e
faltii ɓadiiɗo;f a l t iː   ɓ a d iː ɗ o
faltilawtoo;f a l t i l a w t oː
faltilawtoo (ko);f a l t i l a w t oː   ( k o )
faltinde;f a l t i n d e
faltodaade;f a l t o d aː d e
faltorde;f a l t o r d e
faltude;f a l t u d e
falude;f a l u d e
famɗi famɗi;f a m ɗ i   f a m ɗ i
famɗinde;f a m ɗ i n d e
famɗintinde;f a m ɗ i n t i n d e
famɗita-ƴiiƴajum;f a m ɗ i t a - ʔʲ iː ʔʲ a ɟ u m
famɗitingol ƴiiƴam;f a m ɗ i t i ŋ ɡ o l   ʔʲ iː ʔʲ a m
famɗude;f a m ɗ u d e
famndu;f a m n d u
famru;f a m r u
fanaade;f a n aː d e
fanɗinde;f a n ɗ i n d e
fanɗintinde;f a n ɗ i n t i n d e
fanɗude;f a n ɗ u d e
fankarde;f a n k a r d e
fankorɗinde;f a n k o r ɗ i n d e
fanntinii;f a n n t i n iː
fanntinnde;f a n n t i n n d e
fannu1;f a n n u 1
fannu2;f a n n u 2
fantere laamu;f a n t e r e   l aː m u
fantude;f a n t u d e
fantugol bonnde;f a n t u ɡ o l   b o n n d e
faŋude1;f a ŋ u d e 1
faŋude2;f a ŋ u d e 2
faransiire;f a r a n s iː r e
farbude;f a r b u d e
farfitaade;f a r f i t aː d e
fariila;f a r iː l a
Farillaaji Lewinkooɓe;f a r i l l aː ɟ i   l e w i n k oː ɓ e
farin wutaa;f a r i n   w u t aː
Farisa;f a r i s a
farmaasii;f a r m aː s iː
farnaade;f a r n aː d e
faro;f a r o
farr;f a r r
fartinde;f a r t i n d e
farude;f a r u d e
fasii;f a s iː
fate;f a t e
fawaade;f a w aː d e
fawude;f a w u d e
fay;f a j
fay ko;f a j   k o
fay nde;f a j   n d e
fay si;f a j   s i
fayannde;f a j a n n d e
fayannde lakkiri;f a j a n n d e   l a k k i r i
fayda;f a j d a
fayde;f a j d e
faydinɗo;f a j d i n ɗ o
faydinii;f a j d i n iː
fayinde;f a j i n d e
fayinirgol;f a j i n i r ɡ o l
fayko;f a j k o
fayna-sonna;f a j n a - s o n n a
faynude;f a j n u d e
fayude;f a j u d e
fecc-a;f e c c - a
feccanaade;f e c c a n aː d e
feccere1;f e c c e r e 1
feccere2;f e c c e r e 2
feccere jemma;f e c c e r e   ɟ e m m a
feccere tayre binndi;f e c c e r e   t a j r e   b i n n d i
feccere wottiiɓe ɓeyda gooto;f e c c e r e   w o t t iː ɓ e   ɓ e j d a   ɡ oː t o
feccere-peewngol;f e c c e r e - p eː w ŋ ɡ o l
feccere-taarol;f e c c e r e - t aː r o l
fecceteende;f e c c e t eː n d e
feccirde;f e c c i r d e
feccirteende;f e c c i r t eː n d e
feccirteende-wootere;f e c c i r t eː n d e - w oː t e r e
feccoore;f e c c oː r e
feccort-o;f e c c o r t - o
feccude;f e c c u d e
feccugol;f e c c u ɡ o l
feccugol konngol;f e c c u ɡ o l   k o n ŋ ɡ o l
fedde;f e d d e
fedde gollonoore hoorem;f e d d e   ɡ o l l o n oː r e   h oː r e m
fedde golloore;f e d d e   ɡ o l l oː r e
fedde hawju;f e d d e   h a w ɟ u
fedde inɗe;f e d d e   i n ɗ e
fedde innde;f e d d e   i n n d e
fedde kalima;f e d d e   k a l i m a
fedde karfeeje;f e d d e   k a r f eː ɟ e
fedde leydi;f e d d e   l e j d i
fedde sarwiisi laamu;f e d d e   s a r w iː s i   l aː m u
feddeeji fuɗngo;f e d d eː ɟ i   f u ɗ ŋ ɡ o
feɗaade;f e ɗ aː d e
feɗaneede galan;f e ɗ a n eː d e   ɡ a l a n
feɗde;f e ɗ d e
feɗeede;f e ɗ eː d e
feɗeendu;f e ɗ eː n d u
feɗeengo;f e ɗ eː ŋ ɡ o
feɗn-a;f e ɗ n - a
feɗnude;f e ɗ n u d e
feɗo;f e ɗ o
feɗoode;f e ɗ oː d e
feɗude;f e ɗ u d e
feɗude galan;f e ɗ u d e   ɡ a l a n
feekaade;f eː k aː d e
feenaare;f eː n aː r e
feenda;f eː n d a
feendaade;f eː n d aː d e
feendaare;f eː n d aː r e
feende;f eː n d e
feenyo;f eː n j o
feenyude;f eː n j u d e
feere1;f eː r e 1
feere2;f eː r e 2
feergaade;f eː r ɡ aː d e
feertaade;f eː r t aː d e
feertude;f eː r t u d e
feerude;f eː r u d e
feetaade;f eː t aː d e
feeteende;f eː t eː n d e
feeti;f eː t i
feetude;f eː t u d e
feew-a;f eː w - a
feeweede;f eː w eː d e
feewndaade;f eː w n d aː d e
feewtin-a;f eː w t i n - a
feewtude;f eː w t u d e
feewude;f eː w u d e
feeya;f eː j a
fehnyo;f e h n j o
fehnyude;f e h n j u d e
fekkorde;f e k k o r d e
felannde;f e l a n n d e
felɓude;f e l ɓ u d e
feleede;f e l eː d e
fellere;f e l l e r e
fellisaade;f e l l i s aː d e
fellude;f e l l u d e
felnyaango;f e l n j aː ŋ ɡ o
felnyude;f e l n j u d e
feloore;f e l oː r e
felude;f e l u d e
femɗere;f e m ɗ e r e
femɗude;f e m ɗ u d e
femɗuɗo;f e m ɗ u ɗ o
femmbaade;f e m m b aː d e
femmbeede;f e m m b eː d e
femmbinde;f e m m b i n d e
femmbineede;f e m m b i n eː d e
femmbude;f e m m b u d e
femƴaa;f e m ʔʲ aː
femƴere;f e m ʔʲ e r e
fenande;f e n a n d e
fenaneede;f e n a n eː d e
fennude;f e n n u d e
fennyo;f e n n j o
fennyude;f e n n j u d e
fenoowo;f e n oː w o
fenude;f e n u d e
feraade;f e r aː d e
feraare1;f e r aː r e 1
feraare2;f e r aː r e 2
fercere sariya;f e r c e r e   s a r i j a
fercirde ɗo haanaa;f e r c i r d e   ɗ o   h aː n aː
"fercude kaane ɓii-aadama ; luttugol sariya tomotte";"f e r c u d e   k aː n e   ɓ iː - aː d a m a   ;   l u t t u ɡ o l   s a r i j a   t o m o t t e"
fere;f e r e
fereere;f e r eː r e
fergaade;f e r ɡ aː d e
fergere;f e r ɡ e r e
ferkaade;f e r k aː d e
ferneede;f e r n eː d e
fuuɗaade;f uː ɗ aː d e
fuuɗeede;f uː ɗ eː d e
fuuɗude;f uː ɗ u d e
fuufa;f uː f a
fuufude;f uː f u d e
fuugum;f uː ɡ u m
fuukoode;f uː k oː d e
fuumt-a;f uː m t - a
fuuntude;f uː n t u d e
fuunude;f uː n u d e
fuunyaade;f uː n j aː d e
fuunyaare;f uː n j aː r e
fuusaade;f uː s aː d e
fuusude;f uː s u d e
fuutaade;f uː t aː d e
fuuyre;f uː j r e
fuuytinkinaade;f uː j t i n k i n aː d e
fuuyude;f uː j u d e
fuy;f u j
fuyre;f u j r e
fuytere;f u j t e r e
fuytude;f u j t u d e
ga1;ɡ a 1
ga2;ɡ a 2
ga'a;ɡ a ʔ a
ga'al;ɡ a ʔ a l
ga'i1;ɡ a ʔ i 1
ga'i2;ɡ a ʔ i 2
gaaci;ɡ aː c i
gaafal;ɡ aː f a l
gaafol;ɡ aː f o l
gaafol ndiyam tuunɗam;ɡ aː f o l   n d i j a m   t uː n ɗ a m
gaajaade;ɡ aː ɟ aː d e
gaale;ɡ aː l e
gaanay;ɡ aː n a j
gaande;ɡ aː n d e
Gaani;ɡ aː n i
gaaraasi;ɡ aː r aː s i
gaarawol;ɡ aː r a w o l
gaari;ɡ aː r i
gaarowol;ɡ aː r o w o l
gaasa;ɡ aː s a
gaasi;ɡ aː s i
gaasol;ɡ aː s o l
gaatere;ɡ aː t e r e
gaatude;ɡ aː t u d e
gaawal;ɡ aː w a l
ga1;ɡ a 1
ga2;ɡ a 2
ga'a;ɡ a ʔ a
ga'al;ɡ a ʔ a l
ga'i1;ɡ a ʔ i 1
ga'i2;ɡ a ʔ i 2
gaaci;ɡ aː c i
gaafal;ɡ aː f a l
gaafol;ɡ aː f o l
gaafol ndiyam tuunɗam;ɡ aː f o l   n d i j a m   t uː n ɗ a m
gaajaade;ɡ aː ɟ aː d e
gaale;ɡ aː l e
gaanay;ɡ aː n a j
gaande;ɡ aː n d e
Gaani;ɡ aː n i
gaaraasi;ɡ aː r aː s i
gaarawol;ɡ aː r a w o l
gaari;ɡ aː r i
gaarowol;ɡ aː r o w o l
gaasa;ɡ aː s a
gaasi;ɡ aː s i
gaasol;ɡ aː s o l
gaatere;ɡ aː t e r e
gaatude;ɡ aː t u d e
gaawal;ɡ aː w a l
gaawol;ɡ aː w o l
Gaawoore;ɡ aː w oː r e
gaawoy ndiyam;ɡ aː w o j   n d i j a m
gaaye;ɡ aː j e
gaazol;ɡ aː z o l
gabaade;ɡ a b aː d e
gabaare;ɡ a b aː r e
gabbaare;ɡ a b b aː r e
gabbe;ɡ a b b e
gabbel;ɡ a b b e l
gabbi;ɡ a b b i
gabbu;ɡ a b b u
gabitaade;ɡ a b i t aː d e
gabuure;ɡ a b uː r e
gaɓɓugal;ɡ a ɓ ɓ u ɡ a l
gaɓɓulal;ɡ a ɓ ɓ u l a l
gaccaade;ɡ a c c aː d e
gacce;ɡ a c c e
gaccude;ɡ a c c u d e
gaddaade;ɡ a d d aː d e
gadel;ɡ a d e l
gadin;ɡ a d i n
gadude;ɡ a d u d e
gaɗa;ɡ a ɗ a
gaɗa junngo;ɡ a ɗ a   ɟ u n ŋ ɡ o
gaɗawal;ɡ a ɗ a w a l
gafakka;ɡ a f a k k a
gaggitere;ɡ a ɡ ɡ i t e r e
gajame;ɡ a ɟ a m e
gal;ɡ a l
galaasi;ɡ a l aː s i
Galaatiya;ɡ a l aː t i j a
Galaatiyankooɓe;ɡ a l aː t i j a n k oː ɓ e
galbal;ɡ a l b a l
gale;ɡ a l e
Galili;ɡ a l i l i
galle;ɡ a l l e
galle laamiiɗo;ɡ a l l e   l aː m iː ɗ o
gallu;ɡ a l l u
galmaare;ɡ a l m aː r e
galmol;ɡ a l m o l
galon;ɡ a l o n
galse;ɡ a l s e
galwagadoore;ɡ a l w a ɡ a d oː r e
gam;ɡ a m
gami;ɡ a m i
gammbuwol;ɡ a m m b u w o l
gampuwal;ɡ a m p u w a l
gan1;ɡ a n 1
gan2;ɡ a n 2
gandahoy;ɡ a n d a h o j
gangaaji;ɡ a ŋ ɡ aː ɟ i
gangaare;ɡ a ŋ ɡ aː r e
gangariiji;ɡ a ŋ ɡ a r iː ɟ i
ganndal;ɡ a n n d a l
ganndal-limooje;ɡ a n n d a l - l i m oː ɟ e
gannde;ɡ a n n d e
ganndeeje;ɡ a n n d eː ɟ e
ganndi;ɡ a n n d i
ganndol;ɡ a n n d o l
ganngiire;ɡ a n ŋ ɡ iː r e
ganya ganyalo;ɡ a n j a   ɡ a n j a l o
ganyaandi;ɡ a n j aː n d i
ganyo;ɡ a n j o
gappal;ɡ a p p a l
gara;ɡ a r a
garam;ɡ a r a m
garbinde;ɡ a r b i n d e
garbitaade;ɡ a r b i t aː d e
garbuure;ɡ a r b uː r e
gargasaajo;ɡ a r ɡ a s aː ɟ o
gariibu;ɡ a r iː b u
garol;ɡ a r o l
garoojum;ɡ a r oː ɟ u m
garsude;ɡ a r s u d e
gartol;ɡ a r t o l
garuwal;ɡ a r u w a l
gas-a;ɡ a s - a
gase;ɡ a s e
gasii;ɡ a s iː
gasin;ɡ a s i n
gasirde;ɡ a s i r d e
gasude;ɡ a s u d e
gataaje;ɡ a t aː ɟ e
gatal;ɡ a t a l
gatin;ɡ a t i n
gawaade;ɡ a w aː d e
gawagol;ɡ a w a ɡ o l
gawdi;ɡ a w d i
gawnde;ɡ a w n d e
gawri;ɡ a w r i
gawriyel;ɡ a w r i j e l
gawtooɗo;ɡ a w t oː ɗ o
gawuujo;ɡ a w uː ɟ o
gawuure1;ɡ a w uː r e 1
gawuure2;ɡ a w uː r e 2
gaydoombal;ɡ a j d oː m b a l
gayɗe;ɡ a j ɗ e
gayɗe ndiyam tuunɗam;ɡ a j ɗ e   n d i j a m   t uː n ɗ a m
gaye;ɡ a j e
gayka;ɡ a j k a
gayka ndiyam tuunɗam;ɡ a j k a   n d i j a m   t uː n ɗ a m
gaylude;ɡ a j l u d e
gaynaare;ɡ a j n aː r e
gaynude;ɡ a j n u d e
gbagba;ɡ b a ɡ b a
ge;ɡ e
geɓe;ɡ e ɓ e
geddal;ɡ e d d a l
geddi;ɡ e d d i
geɗal;ɡ e ɗ a l
geɗu;ɡ e ɗ u
geegeeru;ɡ eː ɡ eː r u
geegeneeru;ɡ eː ɡ e n eː r u
geegude;ɡ eː ɡ u d e
geelooɗi;ɡ eː l oː ɗ i
geenol;ɡ eː n o l
geerte;ɡ eː r t e
geesaade;ɡ eː s aː d e
geese;ɡ eː s e
geetiɗinde;ɡ eː t i ɗ i n d e
geeƴam;ɡ eː ʔʲ a m
geeƴi;ɡ eː ʔʲ i
gejubu;ɡ e ɟ u b u
gel;ɡ e l
geldol;ɡ e l d o l
gele;ɡ e l e
gelembol;ɡ e l e m b o l
gelle;ɡ e l l e
gelleere;ɡ e l l eː r e
gelley;ɡ e l l e j
gemelal;ɡ e m e l a l
gemene;ɡ e m e n e
gempeere;ɡ e m p eː r e
genɗe;ɡ e n ɗ e
genndi;ɡ e n n d i
Geno;ɡ e n o
geŋerewal;ɡ e ŋ e r e w a l
gere;ɡ e r e
gere fuu;ɡ e r e   f uː
gere goɗɗo;ɡ e r e   ɡ o ɗ ɗ o
gerembeehi;ɡ e r e m b eː h i
Geres;ɡ e r e s
Geresankoore;ɡ e r e s a n k oː r e
gerfe;ɡ e r f e
gerlal;ɡ e r l a l
gerral;ɡ e r r a l
gerte;ɡ e r t e
gertogal;ɡ e r t o ɡ a l
gertogal-Fira'awna;ɡ e r t o ɡ a l - f i r a ʔ a w n a
gesa;ɡ e s a
gese;ɡ e s e
gettude;ɡ e t t u d e
geye;ɡ e j e
geƴƴeede;ɡ e ʔʲ ʔʲ eː d e
geƴƴelle;ɡ e ʔʲ ʔʲ e l l e
geƴƴude;ɡ e ʔʲ ʔʲ u d e
gi;ɡ i
Gi ɗaɗo;ɡ i   ɗ a ɗ o
gi'al;ɡ i ʔ a l
gi'eehi;ɡ i ʔ eː h i
gi'el ngootuuhi;ɡ i ʔ e l   ŋ ɡ oː t uː h i
gidaade;ɡ i d aː d e
giddal;ɡ i d d a l
gidi;ɡ i d i
giɗaale;ɡ i ɗ aː l e
giɗo;ɡ i ɗ o
Giɗo;ɡ i ɗ o
gigili;ɡ i ɡ i l i
gigitawal;ɡ i ɡ i t a w a l
giigal;ɡ iː ɡ a l
giilol;ɡ iː l o l
giinaaji;ɡ iː n aː ɟ i
giinawol;ɡ iː n a w o l
giiniwol-ɓanndu;ɡ iː n i w o l - ɓ a n n d u
giirngal;ɡ iː r ŋ ɡ a l
giisoore;ɡ iː s oː r e
giiteeli;ɡ iː t eː l i
gilaare;ɡ i l aː r e
gilɗi;ɡ i l ɗ i
gilɗi nyaameteeɗi;ɡ i l ɗ i   n j aː m e t eː ɗ i
gilla;ɡ i l l a
gilngu-reedu;ɡ i l ŋ ɡ u - r eː d u
giloohi;ɡ i l oː h i
gilƴi;ɡ i l ʔʲ i
gimmaajo;ɡ i m m aː ɟ o
ginan;ɡ i n a n
gineeji;ɡ i n eː ɟ i
ginewol;ɡ i n e w o l
ginewol ɓanndu;ɡ i n e w o l   ɓ a n n d u
ginna mori;ɡ i n n a   m o r i
ginnaaji;ɡ i n n aː ɟ i
ginnaaru;ɡ i n n aː r u
ginndoori;ɡ i n n d oː r i
ginnduyel;ɡ i n n d u j e l
ginnol;ɡ i n n o l
girbal;ɡ i r b a l
giriije;ɡ i r iː ɟ e
giriiji;ɡ i r iː ɟ i
giriire;ɡ i r iː r e
girooji;ɡ i r oː ɟ i
girow;ɡ i r o w
girow cortaangu;ɡ i r o w   c o r t aː ŋ ɡ u
girow ladde;ɡ i r o w   l a d d e
girriɗinde;ɡ i r r i ɗ i n d e
gital;ɡ i t a l
gite;ɡ i t e
gite-ngaari;ɡ i t e - ŋ ɡ aː r i
giteyal;ɡ i t e j a l
giye;ɡ i j e
giƴƴude;ɡ i ʔʲ ʔʲ u d e
go;ɡ o
go'o;ɡ o ʔ o
goddi;ɡ o d d i
godogodo;ɡ o d o ɡ o d o
goɗɗo;ɡ o ɗ ɗ o
goɗɗum;ɡ o ɗ ɗ u m
goɗɗum ladde;ɡ o ɗ ɗ u m   l a d d e
goferneere;ɡ o f e r n eː r e
gofornema;ɡ o f o r n e m a
goggiiwo;ɡ o ɡ ɡ iː w o
goggo;ɡ o ɡ ɡ o
gok'gokkotoondu;ɡ o k ʔ ɡ o k k o t oː n d u
gokambi;ɡ o k a m b i
gokkaade;ɡ o k k aː d e
guugeede;ɡ uː ɡ eː d e
guugi;ɡ uː ɡ i
guure;ɡ uː r e
guurndam;ɡ uː r n d a m
Guuro;ɡ uː r o
guurtel;ɡ uː r t e l
guurtol;ɡ uː r t o l
guusiɗinde;ɡ uː s i ɗ i n d e
guyakkaaje;ɡ u j a k k aː ɟ e
guye;ɡ u j e
guyfal;ɡ u j f a l
guyfal ɗo leɗɗe keewi;ɡ u j f a l   ɗ o   l e ɗ ɗ e   k eː w i
guyka;ɡ u j k a
guylaare;ɡ u j l aː r e
guynaare;ɡ u j n aː r e
guƴu;ɡ u ʔʲ u
guƴƴaade;ɡ u ʔʲ ʔʲ aː d e
haabu;h aː b u
haabuuɓe;h aː b uː ɓ e
haaccaade;h aː c c aː d e
haaccude;h aː c c u d e
haaɗude;h aː ɗ u d e
haagu;h aː ɡ u
haahaa;h aː h aː
haajaade;h aː ɟ aː d e
haajeede;h aː ɟ eː d e
haaju;h aː ɟ u
haako;h aː k o
haakolowol;h aː k o l o w o l
haakorowol;h aː k o r o w o l
haakowel-pinndi;h aː k o w e l - p i n n d i
haakowol;h aː k o w o l
haala;h aː l a
haala finaatawaa;h aː l a   f i n aː t a w aː
haala forbaaha;h aː l a   f o r b aː h a
haala ka sottataa;h aː l a   k a   s o t t a t aː
haala yewtere;h aː l a   j e w t e r e
haalande;h aː l a n d e
haalannde;h aː l a n n d e
haaldude;h aː l d u d e
haalilawde;h aː l i l a w d e
haaltaro;h aː l t a r o
haabu;h aː b u
haabuuɓe;h aː b uː ɓ e
haaccaade;h aː c c aː d e
haaccude;h aː c c u d e
haaɗude;h aː ɗ u d e
haagu;h aː ɡ u
haahaa;h aː h aː
haajaade;h aː ɟ aː d e
haajeede;h aː ɟ eː d e
haaju;h aː ɟ u
haako;h aː k o
haakolowol;h aː k o l o w o l
haakorowol;h aː k o r o w o l
haakowel-pinndi;h aː k o w e l - p i n n d i
haakowol;h aː k o w o l
haala;h aː l a
haala finaatawaa;h aː l a   f i n aː t a w aː
haala forbaaha;h aː l a   f o r b aː h a
haala ka sottataa;h aː l a   k a   s o t t a t aː
haala yewtere;h aː l a   j e w t e r e
haalande;h aː l a n d e
haalannde;h aː l a n n d e
haaldude;h aː l d u d e
haalilawde;h aː l i l a w d e
haaltaro;h aː l t a r o
haaltude;h aː l t u d e
haaltugol;h aː l t u ɡ o l
haaltugol ngoonga;h aː l t u ɡ o l   ŋ ɡ oː ŋ ɡ a
haalude;h aː l u d e
haalude ko waroyta;h aː l u d e   k o   w a r o j t a
haalude ngoonga;h aː l u d e   ŋ ɡ oː ŋ ɡ a
haalugol;h aː l u ɡ o l
haalugol faa laaɓa;h aː l u ɡ o l   f aː   l aː ɓ a
haamilgol;h aː m i l ɡ o l
haamili;h aː m i l i
haamilude;h aː m i l u d e
haamnaade;h aː m n aː d e
haamninde;h aː m n i n d e
haamu;h aː m u
haamude;h aː m u d e
haandinde;h aː n d i n d e
haandude;h aː n d u d e
